Label,SOG,LON,LAT,length,angle_COG,time_difference,velocity(m/s),count,N1_Area,V_Area
2,0,103.76288,1.2891,5.368005183,0,31,0.173161458,1,0.00000185,3.71875
2,0,103.7629,1.28908,7.153157153,0,20,0.357657858,1,0.00000258,3.25390625
2,0,103.76287,1.2891,6.671695599,0,31,0.215215987,4,0.00000172,3.71875
2,0,103.76285,1.2891,11.79055278,0,20,0.589527639,2,0.00000277,5.887695313
2,0,103.76292,1.2891,18.32814908,0,19,0.964639425,2,0.00000256,3.356933594
2,0,103.76283,1.28907,12.11880895,0,19,0.63783205,4,0.00000226,3.874023438
2,0,103.7628,1.28917,11.1864467,0,31,0.360853119,7,0.00000185,3.718261719
2,0,103.763,1.2892,30.73575841,0,40,0.76839396,1,0.0000158,33.29492188
2,0,103.76298,1.28917,14.25944469,0,21,0.679021176,1,0.0000117,26.24804688
2,0,103.76295,1.28908,17.34850184,0,19,0.913079044,1,0.00000379,8.677246094
2,0,103.76283,1.28908,25.31346137,0,18,1.406303409,2,0.00000174,3.25390625
2,0,103.7628,1.28905,17.28187732,0,19,0.909572491,3,0.00000246,4.958007813
2,0,103.76287,1.28905,19.60056074,0,18,1.088920041,1,0.00000246,4.958984375
2,0,103.76278,1.28918,17.37773133,0,31,0.560571978,43,0.00000154,2.7890625
2,0,103.76282,1.28918,10.53152765,0,22,0.478705802,2,0.00000135,2.7890625
2,0,103.76307,1.28915,35.64998459,0,72,0.495138675,1,0.0000194,52.42578125
2,0,103.7631,1.28915,23.46822603,0,19,1.235169791,1,0.0000217,72.66650391
2,0,103.76292,1.28917,46.29907448,0,19,2.436793394,1,0.00000529,11.58251953
2,0,103.76315,1.28912,42.87790258,0,21,2.041804885,1,0.000154543,615.3857422
2,0,103.763,1.28913,27.82872895,0,20,1.391436447,1,0.0000177,35.76464844
2,0,103.76295,1.28913,10.53087572,0,21,0.501470272,1,0.00000718,13.10449219
2,0,103.76293,1.28917,21.64755373,0,19,1.139344933,2,0.00000861,18.87109375
2,0,103.76287,1.28908,8.969179091,0,21,0.427103766,1,0.00000185,3.25390625
2,0,103.76287,1.2892,15.92569273,0,30,0.530856424,2,0.00000185,4.415527344
2,0,103.76288,1.28918,7.892369581,0,20,0.394618479,1,0.00000615,14.55664063
2,0,103.76288,1.2892,4.447234127,0,20,0.222361706,1,0.00000185,3.71875
2,0,103.7629,1.2892,10.31655401,0,40,0.25791385,1,0.00000387,10.45898438
2,0,103.76283,1.28918,15.12420096,0,70,0.216060014,2,0.00000205,4.184082031
2,0.1,103.76277,1.2892,7.030982538,-126,70,0.100442608,15,0.00000185,3.71875
2,0.1,103.76287,1.28912,13.830294,139,40,0.34575735,2,0.00000154,2.788574219
2,0,103.76283,1.28912,22.79319003,0,51,0.446925295,2,0.00000154,2.7890625
2,0,103.76297,1.28913,51.98928146,0,30,1.732976049,1,0.00000538,11.29736328
2,0,103.76302,1.28897,33.09147034,0,18,1.838415019,1,0.000157887,320.9941406
2,0,103.7629,1.28902,20.93551207,0,20,1.046775604,1,0.00000277,6.507324219
2,0,103.76262,1.28922,39.31082829,0,41,0.95880069,3,0.00000185,3.253417969
2,0,103.7626,1.2891,7.153547389,0,41,0.174476766,2,0.00000392,10.22460938
2,0,103.76262,1.28913,7.525081239,0,39,0.192950801,1,0.00000123,2.7890625
2,0,103.76277,1.28902,35.18423912,0,32,1.099507473,2,0.00000624,16.37011719
2,0,103.76292,1.28898,34.62541792,0,60,0.577090299,1,0.00000636,14.47216797
2,0,103.76282,1.2891,25.4606201,0,69,0.368994494,4,0.00000185,3.71875
2,0,103.76285,1.28898,25.43913138,0,41,0.620466619,1,0.00000533,7.530273438
2,0,103.7627,1.28903,26.04547829,0,41,0.635255568,1,0.00000378,10.26269531
2,0,103.7627,1.2891,34.16395893,0,19,1.798103102,10,0.00000246,4.958007813
2,0,103.76295,1.28898,37.31147178,0,50,0.746229436,1,0.00000701,12.82226563
2,0,103.7629,1.28895,34.89525654,0,81,0.430805636,1,0.0000073,17.4140625
2,0,103.76297,1.28897,46.76988819,0,99,0.472423113,2,0.00000815,29.33007813
2,0,103.76283,1.28902,16.52660446,0,40,0.413165112,3,0.00000222,3.099121094
2,0,103.76288,1.28902,18.98116649,0,20,0.949058324,2,0.00000138,4.780761719
2,0,103.76288,1.28892,18.98212155,0,21,0.90391055,2,0.00000354,11.03320313
0,0,103.76287,1.28885,15.95758718,0,19,0.839873009,1,0.0000701,212.0429688
2,0,103.76285,1.28892,35.55615399,0,49,0.725635796,1,0.00001,16.01953125
2,0,103.7628,1.28907,15.1261793,0,51,0.296591751,1,0.00000164,3.71875
2,0,103.76283,1.28897,14.45432755,0,31,0.466268631,1,0.00000236,4.802734375
2,0,103.76283,1.289,19.05919543,0,40,0.476479886,1,0.00000215,4.493164063
2,0,103.76278,1.28908,8.472991915,0,40,0.211824798,6,0.00000138,2.7890625
2,0,103.76283,1.2891,10.95850505,0,40,0.273962626,1,0.00000172,3.718261719
2,0,103.76288,1.28907,14.35349646,0,60,0.239224941,1,0.00000138,2.7890625
2,0,103.76257,1.28908,31.21736187,0,118,0.264553914,1,0.0000112,26.52832031
2,0,103.76258,1.28918,27.8499409,0,60,0.464165682,2,0.00000258,5.11328125
2,0,103.76287,1.28903,24.41103711,0,20,1.220551856,2,0.00000176,3.984375
2,0,103.7628,1.28902,14.89312541,0,19,0.783848706,2,0.00000264,6.5078125
2,0,103.7627,1.28912,29.67393019,0,40,0.741848255,6,0.00000185,3.717773438
2,0,103.76293,1.28902,9.99949173,0,39,0.256397224,1,0.00000513,11.09472656
2,0,103.7629,1.28907,13.60213904,38,40,0.340053476,1,0.00000256,7.48828125
2,0,103.76285,1.28903,11.83585497,0,40,0.295896374,2,0.00000343,6.713867188
2,0,103.76282,1.289,7.20327264,0,41,0.175689577,2,0.00000236,4.493164063
2,0,103.76282,1.28897,27.22824487,0,51,0.533887154,1,0.00000205,4.337890625
2,0,103.76267,1.28908,6.670007094,0,39,0.171025823,2,0.00000138,3.563476563
